,Acc NB,Acc SVM,Acc LG,Acc SVM_hyper,SVM advantage to NB,SVM advantage to LG,SVM_hyper advantage to SVM(1),SVM_hyper advantage to LG(2),%(1),%(2)
Touching /Groping,0.8611488014473089,0.8593396653098145,0.8611488014473089,0.8683853459972863,-0.0018091361374943382,-0.0018091361374943382,0.009045680687471802,0.007236544549977464,0.9,0.7
Catcalls/Whistles,0.8132066938037087,0.8299412030755314,0.8344640434192673,0.8403437358661239,0.01673450927182274,-0.0045228403437358455,0.010402532790592445,0.005879692446856599,1.0,0.6
Sexual Invites,0.8941655359565808,0.9054726368159204,0.9072817729534147,0.9054726368159204,0.011307100859339614,-0.0018091361374943382,0.0,-0.0018091361374943382,0.0,-0.2
Stalking,0.9199457259158752,0.9280868385345997,0.9194934418815016,0.9357756671189507,0.008141112618724522,0.008593396653098107,0.007688828584350937,0.016282225237449044,0.8,1.6
Others,0.8891904115784712,0.8860244233378561,0.8900949796472184,0.8959746720940751,-0.003165988240615092,-0.004070556309362261,0.009950248756218971,0.00587969244685671,1.0,0.6
Commenting,0.7815468113975577,0.7919493441881501,0.8086838534599728,0.8136589778380823,0.010402532790592445,-0.01673450927182274,0.02170963364993217,0.00497512437810943,2.2,0.5
Rape / Sexual Assault,0.9493441881501583,0.9592944369063772,0.9570330167345092,0.9638172772501131,0.00995024875621886,0.0022614201718679228,0.0045228403437359566,0.006784260515603879,0.5,0.7
North East India Report,0.9950248756218906,0.9968340117593849,0.9963817277250113,0.9963817277250113,0.0018091361374943382,0.00045228403437358455,-0.00045228403437358455,0.0,-0.0,0.0
Indecent Exposure/Masturbation in public,0.942107643600181,0.9479873360470376,0.9412030755314338,0.9502487562189055,0.005879692446856599,0.006784260515603768,0.0022614201718679228,0.009045680687471691,0.2,0.9
Chain Snatching,0.9787426503844414,0.9868837630031659,0.9828132066938037,0.9855269109000452,0.008141112618724522,0.004070556309362261,-0.0013568521031207537,0.0027137042062415073,-0.1,0.3
Ogling/Facial Expressions/Staring,0.8227046585255541,0.8208955223880597,0.8281320669380371,0.8326549072817729,-0.0018091361374943382,-0.007236544549977353,0.011759384893713198,0.0045228403437358455,1.2,0.5
Taking pictures,0.9434644957033017,0.9565807327001357,0.9502487562189055,0.9565807327001357,0.013116236996833952,0.006331976481230184,0.0,0.006331976481230184,0.0,0.6
Poor / No Street Lighting,0.9701492537313433,0.9751243781094527,0.9696969696969697,0.9755766621438263,0.00497512437810943,0.005427408412483015,0.00045228403437358455,0.005879692446856599,0.0,0.6
Online Harassment,0.9990954319312528,1.0,1.0,1.0,0.0009045680687471691,0.0,0.0,0.0,0.0,0.0
